id,name,goals_avg,goals_sd,assists_avg,assists_sd,blocks_avg,blocks_sd,catches_avg,catches_sd,completions_avg,completions_sd,throwaways_avg,throwaways_sd,drops_avg,drops_sd,callahans_avg,callahans_sd
375,Charette,0.642857143,0.928782732,0.142857143,0.36313652,0.857142857,1.099450412,2.142857143,1.65748386,1.642857143,1.277445941,0.071428571,0.267261242,0,0,0,0
376,Faber,0.071428571,0.267261242,0,0,0,0,0.357142857,0.928782732,0.285714286,0.825420306,0,0,0,0,0,0
377,Gamache,0.214285714,0.578934224,0.357142857,1.081817762,0.214285714,0.578934224,6.428571429,5.459138925,8.5,7.653556237,0.5,0.650443636,0.285714286,0.611249846,0,0
378,Genest,0.642857143,0.841897386,2.071428571,1.491735474,0.5,0.759554525,10.07142857,6.342339846,13.07142857,7.878542287,2.214285714,2.224983023,0.142857143,0.36313652,0,0
379,Goderre,1.071428571,1.206666464,2,1.467598771,0.714285714,1.069044968,24.5,9.484805663,36.21428571,14.44979942,2,1.519109051,0.285714286,0.611249846,0,0
380,Groulx,0.5,0.759554525,0.857142857,0.949262293,0.428571429,0.755928946,4.928571429,5.622267346,3.928571429,4.565157099,0.785714286,1.121713759,0.071428571,0.267261242,0,0
381,Hibbert,0.928571429,1.384768001,0.714285714,0.994490316,0.642857143,0.744946344,6.214285714,5.025757829,4.5,3.777463536,0.785714286,0.892582375,0.142857143,0.36313652,0,0
382,Jean G,0.428571429,0.851630627,0.142857143,0.36313652,0.285714286,0.611249846,3.142857143,2.983470949,2.642857143,2.817722563,0.142857143,0.534522484,0,0,0,0
383,Joncas,0.928571429,0.916874768,0.428571429,0.646206173,1,0.960768923,4.357142857,2.239750771,3.428571429,2.680823229,0.285714286,0.468807231,0.071428571,0.267261242,0,0
384,Krump,0,0,0,0,0,0,0.142857143,0.36313652,0.214285714,0.425815314,0,0,0,0,0,0
385,Lemieux,0.5,0.650443636,0.5,0.854850414,0.571428571,0.755928946,4.357142857,4.499694739,4.428571429,4.750939757,0.071428571,0.267261242,0.214285714,0.578934224,0,0
386,Malik,1.142857143,1.231455852,1.428571429,1.452546078,0.428571429,0.755928946,9.285714286,8.361344863,7.357142857,6.651860848,1.357142857,1.499083969,0.142857143,0.36313652,0,0
387,Massi,0.071428571,0.267261242,0.142857143,0.534522484,0.071428571,0.267261242,0.214285714,0.801783726,0.142857143,0.534522484,0,0,0.071428571,0.267261242,0,0
388,Monfette,0.357142857,0.633323694,0.5,0.940539943,0.714285714,0.913873533,9.5,5.459642141,10.92857143,5.993127933,1.357142857,1.008208072,0,0,0,0
389,Nas,1.428571429,1.342459609,0.857142857,1.099450412,0.357142857,0.633323694,14.71428571,10.11798529,13.42857143,10.01317813,1,0.784464541,0.142857143,0.36313652,0,0
390,Quentin,2.285714286,2.49394872,1.142857143,1.292412345,0.357142857,0.497245158,12.14285714,10.98150293,9.142857143,8.291396309,0.785714286,1.311403912,0.357142857,0.497245158,0,0
391,Quinlan,1.285714286,1.489892687,2.785714286,2.750624305,0.571428571,0.646206173,16,11.74734012,13.14285714,9.542271483,2.071428571,1.979288361,0.214285714,0.425815314,0,0
392,Saunders,0,0,0.214285714,0.578934224,0.142857143,0.36313652,15.71428571,16.82684929,18,19.28730152,0.357142857,0.744946344,0.071428571,0.267261242,0,0
393,Steve,0.857142857,1.099450412,2.142857143,2.107026445,0.428571429,0.646206173,27.71428571,17.69584293,27.71428571,18.07432761,3,2.253202849,0,0,0,0
394,Vallee,2.642857143,1.78054196,1.357142857,1.150728389,0.642857143,0.744946344,13.42857143,4.586171283,10.21428571,3.765809167,0.857142857,1.167320591,0.357142857,0.497245158,0,0
395,Alongi,0.25,0.452267017,0.5,1.243163121,0.583333333,0.900336637,3.333333333,4.63844279,3.083333333,4.294993562,0.333333333,0.651338947,0.166666667,0.389249472,0,0
396,Zack Avello (Nashville),1.25,1.055289706,1,1.348399725,0.166666667,0.389249472,7.333333333,6.343691689,5.5,5.14339824,0.5,0.522232968,0.25,0.452267017,0.083333333,0.288675135
